title,reference_summary,generated_summary,precision,recall,f1
10-things-i-hate-about-you,"Adapted from William Shakespeare's play ""The Taming of the Shrew,"" 10 Things I Hate About You starts off with Cameron, new student at Padua High, sitting in the office of the quirky guidance counselor Ms. Perky. He is then shown around the school by Michael, who will become his best friend. During his tour is when Cameron first sees Bianca Stratford, a beautiful sophomore with one problem: she isn't allowed to date. And neither is her ""shrew"" sister, Katarina, a senior who loves indie rock and feminist prose and hates conformity. But Kat and Bianca's father alters his house rule: now, Bianca can date... as long as Kat has a date, too. Now, in order for Cameron to date Bianca, he has to find someone to date Kat. So Michael helps him enlist the help of pretty-boy/jerk/model Joey Donner, tricking him into thinking that *he* will get to take Bianca out if he pays someone to take out Kat. His choice: Patrick Verona, a bad-boy with a mysterious reputation--some say he ate a live duck once, others that he lit a state trooper on fire, and even more claim that he had a brief porn career. Will Patrick win Kat's heart? Will Cameron win Bianca's? Or will everything hit the fan...?","a young boy, who is a sex-sex addict, has a long-term relationship with a friend who has an affair with his father, a lawyer, and a psychiatrist . he's a man who's been abused by a woman who has been a victim of a sexual assault . his sister, whose father is an alcoholic, tries to get a divorced divorced from her father, and is unable to get married .",0.8261953592300415,0.7936723232269287,0.8096073865890503
2001-a-space-odyssey,"""2001"" is a story of evolution. Sometime in the distant past, someone or something nudged evolution by placing a monolith on Earth (presumably elsewhere throughout the universe as well). Evolution then enabled humankind to reach the moon's surface, where yet another monolith is found, one that signals the monolith placers that humankind has evolved that far. Now a race begins between computers (HAL) and human (Bowman) to reach the monolith placers. The winner will achieve the next step in evolution, whatever that may be.","Moonwatcher, a lion and a group of lions, tries to escape from the caves of the tribs of a cave . he is the only one to escape the cave, but he has never been able to survive . the lion, who is a human being, is unable to survive, and he can't afford to be a slave .",0.8175845742225647,0.8072323203086853,0.8123754858970642
american-beauty,"After his death sometime in his forty-third year, suburbanite Lester Burnham tells of the last few weeks of his life, during which he had no idea of his imminent passing. He is a husband to real estate agent Carolyn Burnham and father to high school student Janie Burnham. Although Lester and Carolyn once loved each other, they now merely tolerate each other. Typical wallflower Janie too hates both her parents, the three who suffer individually in silence in their home life. Janie tries to steer clear of both her parents. Carolyn, relatively new to the real estate business, wants to create the persona of success to further her career, she aspiring to the professional life of Buddy Kane, the king of the real estate business in their neighborhood. Lester merely walks mindlessly through life, including at his job in advertising. His company is downsizing, and he, like all the other employees, has to justify his position to the newly hired efficiency expert to keep his job. Things change for Lester when he falls in love at first sight with Janie's more experienced classmate, Angela Hays. Both Janie and Angela can see Lester's sexual infatuation with Angela, who courts such attention from any man as a sign that she is model material, she having once appeared in Seventeen and it a career to which she aspires. Lester's infatuation with Angela gives him a reenergized view on life, where he openly doesn't care anymore what anyone thinks about what he does, anyone except Angela. This infatuation coincides with the Fittses moving in next door: homophobic disciplinarian US Marine Colonel Frank Fitts who rules the house with a military fist (that fist being both figurative and literal), his semi-comatose wife Barbara Fitts, and their bright and quietly subversive eighteen year old son Ricky Fitts, who openly abides by his father's rules while behind the scenes lives by his own quite different perspective. Much like Lester's infatuation, Ricky immediately becomes infatuated with Janie, he who considers girls like Angela as ordinary. The entry of Angela and the Fittses into the Burnhams' lives ultimately leads to each of the players confronting what is truly in his or her heart.",Lester Burnham (James) is a young woman who has a crush on a woman who's been married to a man who has been married for a while . he's a sex-sex lover and a father who has an affair with a friend who has never been able to afford a job in a house .,0.8295488357543945,0.7844935655593872,0.8063923716545105
apocalypse-now,"It is the height of the war in Vietnam, and U.S. Army Captain Willard is sent by Colonel Lucas and a General to carry out a mission that, officially, 'does not exist - nor will it ever exist'. The mission: To seek out a mysterious Green Beret Colonel, Walter Kurtz, whose army has crossed the border into Cambodia and is conducting hit-and-run missions against the Viet Cong and NVA. The army believes Kurtz has gone completely insane and Willard's job is to eliminate him! Willard, sent up the Nung River on a U.S. Navy patrol boat, discovers that his target is one of the most decorated officers in the U.S. Army. His crew meets up with surfer-type Lt-Colonel Kilgore, head of a U.S Army helicopter cavalry group which eliminates a Viet Cong outpost to provide an entry point into the Nung River. After some hair-raising encounters, in which some of his crew are killed, Willard, Lance and Chef reach Colonel Kurtz's outpost, beyond the Do Lung Bridge. Now, after becoming prisoners of Kurtz, will Willard & the others be able to fulfill their mission?","a saigon-based military officer, a veteran of the Vietnam War, is a military veteran who has been killed in a war-torn country since 1968 . he's been killed by a group of soldiers who have fought in the region for the past two decades . the slain soldier, who is now a former military veteran, is now in the midst of a battle with the u.s. army .",0.8390846252441406,0.8136698007583618,0.8261818289756775
black-swan,"Nina (Portman) is a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her obsessive former ballerina mother Erica (Hershey) who exerts a suffocating control over her. When artistic director Thomas Leroy (Cassel) decides to replace prima ballerina Beth MacIntyre (Ryder) for the opening production of their new season, Swan Lake, Nina is his first choice. But Nina has competition: a new dancer, Lily (Kunis), who impresses Leroy as well. Swan Lake requires a dancer who can play both the White Swan with innocence and grace, and the Black Swan, who represents guile and sensuality. Nina fits the White Swan role perfectly but Lily is the personification of the Black Swan. As the two young dancers expand their rivalry into a twisted friendship, Nina begins to get more in touch with her dark side - a recklessness that threatens to destroy her.","Nina Fonteyn, a dancer from the 'Black Swan', is a swan and a girl from a young age . he is the only one to be reunited with her mother, Veronica, and he's a big fan of the ballet . Nina's mother, and her sister, are the only ones to have a crush on her.",0.8514548540115356,0.816843569278717,0.8337901830673218
chinatown,"JJ 'Jake' Gittes is a private detective who seems to specialize in matrimonial cases. He is hired by Evelyn Mulwray when she suspects her husband Hollis, builder of the city's water supply system, of having an affair. Gittes does what he does best and photographs him with a young girl but in the ensuing scandal, it seems he was hired by an impersonator and not the real Mrs. Mulwray. When Mr. Mulwray is found dead, Jake is plunged into a complex web of deceit involving murder, incest, and municipal corruption all related to the city's water supply.","Gittes is a slender man who has a long history of adolescence in the desert . his wife, Sophie, and his friend, a young man, have a hard time finding a way to make a living in a desert community . he's a man who's been a part of the city for a while.",0.8493040800094604,0.8235499858856201,0.8362287878990173
cinema-paradiso,"A boy who grew up in a native Sicilian Village returns home as a famous director after receiving news about the death of an old friend. Told in a flashback, Salvatore reminiscences about his childhood and his relationship with Alfredo, a projectionist at Cinema Paradiso. Under the fatherly influence of Alfredo, Salvatore fell in love with film making, with the duo spending many hours discussing about films and Alfredo painstakingly teaching Salvatore the skills that became a stepping stone for the young boy into the world of film making. The film brings the audience through the changes in cinema and the dying trade of traditional film making, editing and screening. It also explores a young boy's dream of leaving his little town to foray into the world outside.","the film is a series of films that have been filmed in the 1940s by a young man who is filmed by the famous 'secretary' filmmaker, Alfredo Salvatore, is based in the city of Giancaldo . he is portrayed as a man who has been a slain in the film's history, and he's a fan of the film.",0.8456372022628784,0.8373873829841614,0.8414920568466187
citizen-kane,"When a reporter is assigned to decipher newspaper magnate Charles Foster Kane's (Orson Welles) dying words, his investigation gradually reveals the fascinating portrait of a complex man who rose from obscurity to staggering heights. Though Kane's friend and colleague Jedediah Leland (Joseph Cotten), and his mistress, Susan Alexander (Dorothy Comingore), shed fragments of light on Kane's life, the reporter fears he may never penetrate the mystery of the elusive man's final word, ""Rosebud.""","Charles Foster Kane, a former president of the u.s. government, is a prominent figure in the history of the country's history . he is the father of a slain emperor, whose father was a father of two children, and his father, who is now a son of his own .",0.82805335521698,0.8050680160522461,0.8163989186286926
edward-scissorhands,"A scientist (Vincent Price) builds an animated human being -- the gentle Edward (Johnny Depp). The scientist dies before he can finish assembling Edward, though, leaving the young man with a freakish appearance accentuated by the scissor blades he has instead of hands. Loving suburban saleswoman Peg (Dianne Wiest) discovers Edward and takes him home, where he falls for Peg's teen daughter (Winona Ryder). However, despite his kindness and artistic talent, Edward's hands make him an outcast.","Edward Boggs, a teen-age teen, is a man who has a knack for etiquette . he's a big fan of the sex of the world, and he has gotten a lot of attention from his father, Edward. He's not a fan of him, but he can't afford to do anything.",0.8377321362495422,0.8117822408676147,0.8245530724525452
eternal-sunshine-of-the-spotless-mind,"After a painful breakup, Clementine (Kate Winslet) undergoes a procedure to erase memories of her former boyfriend Joel (Jim Carrey) from her mind. When Joel discovers that Clementine is going to extremes to forget their relationship, he undergoes the same procedure and slowly begins to forget the woman that he loved. Directed by former music video director Michel Gondry, the visually arresting film explores the intricacy of relationships and the pain of loss.","Joel Kruczynski, a writer at Borders, is a young woman who has a long-term relationship with a friend, who has been a sex lover . he has gotten a lot of attention from his father, and he's a big fan of the book, which he says he can't get to know him.",0.8339332342147827,0.8280381560325623,0.8309752345085144
